"Program Points","Invariant","F:\Regression2\Daikon\3.1\ClassUtilsTest.txt","F:\Regression2\Daikon\3.1\ContextedExceptionTest.txt","F:\Regression2\Daikon\3.1\ContextedRuntimeExceptionTest.txt"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1055","return.toString one of { """", ""org.apache.commons.lang3"" }","1","0","0"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1055","valueIfNull.toString != return.toString","1","0","0"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1053","return == orig(valueIfNull)","1","0","0"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1053","return has only one value","1","0","0"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1053","orig(object) == null","1","0","0"
"org.apache.commons.lang3.ClassUtils.getPackageCanonicalName(java.lang.Object, java.lang.String):::EXIT1053","valueIfNull.toString == return.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_0_9.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_1.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_2.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_3.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_4.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_5.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_6.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_7.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.SystemUtils.getOSMatchesName(java.lang.String):::ENTER","org.apache.commons.lang3.JavaVersion.JAVA_1_8.name.toString < osNamePrefix.toString","1","0","0"
"org.apache.commons.lang3.ArrayUtils.isSameLength(java.lang.Object[], java.lang.Object[]):::EXIT1198","array2[] elements has only one value","1","0","0"
"org.apache.commons.lang3.ArrayUtils.isSameLength(java.lang.Object[], java.lang.Object[]):::EXIT1198","return == false","1","0","0"
